time,precipitation_sum_CMCC_CM2_VHR4 (mm),precipitation_sum_FGOALS_f3_H (mm),precipitation_sum_HiRAM_SIT_HR (mm),precipitation_sum_MRI_AGCM3_2_S (mm),precipitation_sum_EC_Earth3P_HR (mm),precipitation_sum_MPI_ESM1_2_XR (mm),precipitation_sum_NICAM16_8S (mm)
1975-01-01,0.72,0.00,0.00,0.00,0.00,0.00,0.62
1975-01-02,0.12,0.00,0.00,0.00,0.00,0.00,0.00
1975-01-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-01-04,0.00,0.00,0.00,0.00,0.21,0.00,0.00
1975-01-05,0.00,0.00,0.00,2.06,0.00,0.00,0.00
1975-01-06,0.00,0.00,0.00,11.58,0.00,0.00,0.00
1975-01-07,0.00,0.00,0.00,1.56,0.00,0.00,0.00
1975-01-08,0.00,0.00,0.00,0.00,0.32,0.00,0.00
1975-01-09,0.00,0.00,0.00,0.00,1.16,0.00,0.00
1975-01-10,0.00,0.00,0.00,0.00,2.73,0.00,0.00
1975-01-11,0.00,0.00,0.00,0.00,36.26,0.00,0.00
1975-01-12,0.00,0.00,0.00,0.00,17.24,0.00,0.00
1975-01-13,0.00,0.00,0.00,0.00,0.21,0.00,0.15
1975-01-14,0.00,0.00,0.00,0.00,0.00,0.00,17.47
1975-01-15,0.00,0.00,0.00,0.00,15.88,0.00,0.00
1975-01-16,0.00,12.69,0.00,0.00,29.45,0.00,0.00
1975-01-17,0.00,9.42,0.00,0.00,0.32,0.00,1.07
1975-01-18,0.00,0.23,0.00,1.99,0.00,0.00,0.15
1975-01-19,0.00,0.00,0.00,0.17,0.00,0.00,0.00
1975-01-20,0.00,0.00,0.00,0.00,0.00,0.00,0.31
1975-01-21,1.28,0.00,0.00,0.00,0.00,0.00,3.05
1975-01-22,0.26,0.00,0.00,0.00,0.00,0.00,0.00
1975-01-23,0.00,4.26,0.00,0.00,0.00,0.00,0.00
1975-01-24,0.00,3.65,0.00,0.00,0.00,0.00,0.00
1975-01-25,0.00,0.74,0.00,0.00,0.00,0.00,0.00
1975-01-26,0.00,17.88,0.00,0.00,2.42,0.00,15.19
1975-01-27,0.00,0.00,0.00,0.00,10.53,0.00,3.49
1975-01-28,0.00,10.40,0.00,0.00,0.21,0.97,8.80
1975-01-29,0.00,0.04,0.00,0.00,14.22,25.88,3.94
1975-01-30,0.00,0.24,0.00,0.23,27.29,7.70,3.48
1975-01-31,0.00,0.16,0.00,0.00,12.12,5.54,0.00
1975-02-01,0.00,0.00,0.00,0.00,0.21,14.80,0.00
1975-02-02,0.00,0.00,0.11,0.00,0.00,0.11,6.35
1975-02-03,0.00,0.00,0.00,0.00,0.00,0.00,0.91
1975-02-04,0.00,0.00,0.00,0.00,0.00,0.11,0.00
1975-02-05,0.00,0.00,14.87,0.00,0.00,0.00,0.00
1975-02-06,0.40,0.00,2.62,4.96,0.00,33.83,0.00
1975-02-07,0.54,0.00,0.00,20.53,0.00,69.00,0.00
1975-02-08,0.00,0.00,0.00,9.66,0.00,0.22,0.00
1975-02-09,0.00,0.00,0.00,16.33,0.00,0.00,0.00
1975-02-10,0.00,0.00,21.04,10.41,0.00,0.00,0.00
1975-02-11,0.27,0.00,0.33,21.29,0.00,0.00,0.00
1975-02-12,0.00,0.00,0.33,1.43,10.03,0.00,0.00
1975-02-13,0.00,0.00,0.00,0.36,0.21,0.00,0.00
1975-02-14,0.00,4.57,0.00,6.66,0.00,0.00,0.00
1975-02-15,0.00,16.60,0.00,1.32,0.00,0.00,0.00
1975-02-16,0.00,0.04,0.11,0.00,0.63,0.00,0.00
1975-02-17,0.00,14.79,14.40,0.00,0.74,0.00,0.00
1975-02-18,0.00,12.66,40.48,0.00,0.00,0.00,0.00
1975-02-19,0.00,23.46,3.19,0.00,0.00,0.00,0.00
1975-02-20,0.00,0.53,6.83,0.00,0.53,0.00,0.00
1975-02-21,0.00,4.59,3.63,0.00,0.00,0.00,0.15
1975-02-22,0.00,5.58,10.25,0.00,0.00,0.00,0.00
1975-02-23,0.42,5.76,35.72,0.00,0.00,0.00,0.00
1975-02-24,26.75,0.08,7.61,0.00,0.00,0.00,0.15
1975-02-25,17.65,0.04,0.22,0.00,0.00,0.00,0.00
1975-02-26,0.14,0.04,0.00,0.00,0.00,0.00,0.00
1975-02-27,0.43,1.08,0.00,0.00,0.00,0.00,0.00
1975-02-28,0.43,0.00,3.76,0.00,0.00,0.00,0.00
1975-03-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-02,4.01,0.00,0.00,0.68,0.00,0.00,0.00
1975-03-03,1.44,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-04,0.00,0.00,0.00,0.00,2.22,0.00,0.00
1975-03-05,0.00,0.00,0.00,0.00,3.49,0.00,11.83
1975-03-06,0.00,0.04,0.00,0.00,2.85,0.00,1.62
1975-03-07,0.00,0.00,0.00,0.00,3.48,0.00,0.00
1975-03-08,0.00,0.00,0.00,0.00,18.44,0.00,0.00
1975-03-09,0.14,0.00,0.00,0.00,20.00,9.00,4.70
1975-03-10,0.00,0.00,0.44,0.25,0.00,0.12,17.47
1975-03-11,0.00,0.00,3.50,0.00,0.00,0.00,0.00
1975-03-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-14,0.00,0.00,0.00,0.06,0.00,1.73,0.00
1975-03-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.15
1975-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-18,0.42,0.00,0.00,5.91,2.92,0.00,0.00
1975-03-19,3.09,0.00,11.73,20.48,59.99,0.00,0.00
1975-03-20,0.00,0.00,12.88,16.16,28.97,0.35,0.00
1975-03-21,0.00,0.00,0.00,0.00,5.60,0.00,0.00
1975-03-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1975-03-23,0.00,5.42,0.00,0.00,0.62,0.00,0.43
1975-03-24,0.00,3.17,0.00,0.00,0.10,0.00,18.87
1975-03-25,0.00,16.39,0.00,0.00,0.41,0.00,3.42
